,arc_L_segment,end_end_dist_2_segment,file_label,file_path,frame_numer,max_arc_l,Arc_win_rgn_A,Arc_win_rgn_B,avg_arc_l_win_fil_1,avg_arc_l_win_fil_2,fil_label,Arc_win_size,max_arc_L_segment,E_bend_arr_kBT,Mean_Curvature_segment,Std_Curvature_segment,E_bend_filament_kBT,L_p,L_p_std,R_sq_fit,L_P_dist,mean_pt_curv_for_dist
46,"[8.68,17.36,26.04,34.72,43.40]","[71.50,272.34,564.03,945.74,1392.52]",S_1,/Users/yogehs/Downloads/SbcC/S/1/24.csv,23.0,87.04273257839237,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.35,0.34,0.12,0.08,0.08]","[0.06,0.06,0.04,0.03,0.03]","[0.01,0.01,0.01,0.00,0.00]",0.9815,22.165,0.1773633413518978,1.0,4593.536,0.040561152651378364
47,"[8.63,17.26,25.89,34.52,43.14]","[74.17,295.12,650.15,1166.72,1797.41]",S_1,/Users/yogehs/Downloads/SbcC/S/1/24.csv,23.0,87.04273257839237,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.08,0.45,0.08,0.00,0.00]","[-0.01,-0.02,-0.01,-0.00,0.00]","[0.01,0.00,0.01,0.00,0.00]",0.6072,211.42,15.334014856102812,1.0,8716.057,-0.010851795011960286
48,"[8.64,17.28,25.92,34.57,43.21]","[71.64,267.98,562.69,967.30,1448.73]",S_1,/Users/yogehs/Downloads/SbcC/S/1/25.csv,24.0,86.50991475874234,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.41,0.37,0.12,0.06,0.08]","[0.06,0.06,0.03,0.02,0.03]","[0.01,0.01,0.01,0.00,0.00]",1.0428,26.203,0.3975872257707239,1.0,3923.53,0.03694023883631606
49,"[8.57,17.13,25.70,34.27,42.83]","[73.21,290.04,656.47,1150.39,1782.46]",S_1,/Users/yogehs/Downloads/SbcC/S/1/25.csv,24.0,86.50991475874234,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.00,0.00,0.22,0.17,0.05]","[-0.00,-0.00,-0.01,-0.01,-0.01]","[0.01,0.00,0.00,0.00,0.00]",0.4469,257.931,17.25989669002628,1.0,19460.722,-0.005752925372165218
50,"[8.44,16.87,25.31,33.75,42.18]","[66.53,245.66,535.05,930.00,1400.99]",S_1,/Users/yogehs/Downloads/SbcC/S/1/26.csv,25.0,84.40761058440458,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.89,0.32,0.07,0.06,0.06]","[0.09,0.05,0.03,0.02,0.02]","[0.01,0.01,0.00,0.00,0.01]",1.4146,26.974,0.7781085026047022,1.0,1528.706,0.039721892105129414
51,"[8.37,16.73,25.10,33.47,41.84]","[69.88,276.95,625.36,1103.55,1682.00]",S_1,/Users/yogehs/Downloads/SbcC/S/1/26.csv,25.0,84.40761058440458,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.00,0.01,0.16,0.53,0.43]","[-0.00,0.00,-0.01,-0.03,-0.02]","[0.00,0.00,0.01,0.00,0.00]",1.1402,201.109,28.09190630693885,1.0,7435.36,-0.008694037184366616
52,"[8.72,17.43,26.15,34.87,43.58]","[74.13,278.32,589.67,1020.86,1557.19]",S_1,/Users/yogehs/Downloads/SbcC/S/1/27.csv,26.0,87.1655991388055,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.42,0.40,0.13,0.03,0.10]","[0.05,0.05,0.03,0.02,0.03]","[0.01,0.01,0.01,0.00,0.00]",1.0841,33.701,0.9133195711742178,1.0,4389.691,0.032691195414713915
53,"[8.64,17.27,25.91,34.55,43.19]","[74.41,297.14,664.25,1157.11,1766.70]",S_1,/Users/yogehs/Downloads/SbcC/S/1/27.csv,26.0,87.1655991388055,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.13,0.03,0.26,0.40,0.22]","[0.01,-0.01,-0.02,-0.03,-0.02]","[0.01,0.00,0.01,0.00,0.00]",1.03,143.55,13.384973686309703,1.0,3861.571,-0.00777736237944216
54,"[8.85,17.69,26.54,35.39,44.23]","[72.77,277.79,587.62,996.81,1463.79]",S_1,/Users/yogehs/Downloads/SbcC/S/1/28.csv,27.0,88.54361533643035,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.48,0.33,0.10,0.08,0.09]","[0.07,0.06,0.03,0.03,0.03]","[0.01,0.01,0.00,0.00,0.00]",1.092,23.671,0.17812201762842508,1.0,3712.963,0.040528152063379314
55,"[8.79,17.58,26.37,35.16,43.95]","[76.73,307.96,689.59,1229.80,1865.02]",S_1,/Users/yogehs/Downloads/SbcC/S/1/28.csv,27.0,88.54361533643035,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.08,0.05,0.02,0.75,1.51]","[0.01,0.01,-0.00,-0.03,-0.04]","[0.00,0.00,0.01,0.00,0.00]",2.406,254.372,53.079021417176726,1.0,3132.702,-0.006840239746029482
